CollegeID,CourseId,StreamId,Duration,AnnualFees,InternationalFees,Eligibility
5,387,4,3 Years,NIL," $2,000.00 ",The Candidate should have passed their O level and A level for the UG  Programmes with Minimum 50%.
5,388,4,3 Years,NIL," $2,500.00 ",The Candidate should have passed their O level and A level for the UG  Programmes with Minimum 50%.
5,389,4,2 years,NIL," $3,000.00 ",The Candidate should have Graduated with minimum 50% marks
5,390,4,2 years,NIL," $3,000.00 ",The Candidate should have Graduated with minimum 50% marks
5,391,8,4 Years,NIL," $2,500.00 ",The Candidate should have passed their O level and A level for the UG  Programmes with Minimum 50%.
5,392,5,4 Years,NIL," $3,500.00 ",The Candidate should have passed their O level and A level for the UG  Programmes with Minimum 50%.
5,393,5,2 years,NIL," $2,500.00 ",The Candidate should have passed their O level and A level for the UG  Programmes with Minimum 50%.
5,394,5,2 years,NIL," $2,500.00 ",The Candidate should have passed their O level and A level for the UG  Programmes with Minimum 50%.
5,395,5,2 years,NIL," $2,500.00 ",The Candidate should have Graduated with minimum 50% marks
5,396,6,3 Years,NIL," $2,500.00 ",The Candidate should have passed their O level and A level for the UG  Programmes with Minimum 50%.
5,397,6,3 Years,NIL," $2,500.00 ",The Candidate should have passed their O level and A level for the UG  Programmes with Minimum 50%.
5,398,6,3 Years,NIL," $2,500.00 ",The Candidate should have passed their O level and A level for the UG  Programmes with Minimum 50%.
5,399,6,3 Years,NIL," $2,500.00 ",The Candidate should have passed their O level and A level for the UG  Programmes with Minimum 50%.
5,400,6,2 years,NIL," $2,500.00 ",The Candidate should have Graduated with minimum 50% marks
5,401,6,2 years,NIL," $2,500.00 ",The Candidate should have Graduated with minimum 50% marks
5,402,6,2 years,NIL," $2,500.00 ",The Candidate should have Graduated with minimum 50% marks
5,403,6,2 years,NIL," $2,500.00 ",The Candidate should have Graduated with minimum 50% marks
5,404,6,3 Years,NIL," $2,000.00 ",The Candidate should have passed their O level with Minimum 50%.
5,405,6,3 Years,NIL," $2,000.00 ",The Candidate should have passed their O level with Minimum 50%.
5,406,6,3 Years,NIL," $2,000.00 ",The Candidate should have passed their O level with Minimum 50%.
5,407,6,3 Years,NIL," $2,000.00 ",The Candidate should have passed their O level with Minimum 50%.
5,408,6,3 Years,NIL," $2,000.00 ",The Candidate should have passed their O level with Minimum 50%.
5,409,6,3 Years,NIL," $2,500.00 ",The Candidate should have passed their O level and A level for the UG  Programmes with Minimum 50%.
